,CITY,REFERENCE TAX INCOME,UNEMPLOYMENT RATE,RSA BENEFICIARIES,Average net monthly salaries,Percentage of employees on permanent contracts,Number of companies,Average wealth tax per household n/a,CAF beneficiaries,Population
75,Montargis,18148.0,28.19%,9.30%,2094.44,78.84%,1310.0,nc,32.10%,14738.0
76,Montluçon,19606.0,19.57%,6.19%,2077.77,71.80%,2250.0,nc,29.52%,33822.0
77,Abbeville,19141.0,23.69%,6.23%,2063.80,80.79%,1487.0,nc,29.16%,22895.0
78,Lavelanet,16976.0,29.36%,7.17%,1892.67,79.08%,516.0,nc,23.98%,6052.0
79,Montereau-Fault-Yonne,16702.0,24.98%,6.12%,2062.34,80.78%,1370.0,nc,23.92%,21888.0
80,Bouillante,14025.0,33.76%,12.84%,2071.36,74.21%,806.0,nc,29.95%,6760.0
81,Guise,15988.0,28.87%,7.59%,1971.14,78.73%,226.0,nc,28.08%,4559.0
82,Lormont,17547.0,21.36%,5.03%,2049.89,80.73%,2354.0,nc,30.06%,22913.0
83,Pointe-Noire,12694.0,35.23%,13.20%,2001.76,79.59%,681.0,nc,30.66%,5963.0
84,Rouvroy,17511.0,22.19%,5.56%,2066.05,79.19%,327.0,nc,26.30%,8925.0
85,Vitry-le-François,17308.0,23.14%,5.73%,2024.27,81.37%,666.0,nc,28.32%,11458.0
86,Aulnoye-Aymeries,17771.0,24.19%,5.41%,2052.39,79.05%,305.0,nc,25.87%,8804.0
87,Bruay-sur-l'Escaut,17077.0,25.19%,6.70%,2068.69,80.47%,462.0,nc,26.59%,11325.0
88,Port-Louis,13225.0,30.77%,12.93%,2055.14,75.90%,405.0,nc,31.37%,5601.0
89,Romilly-sur-Seine,17708.0,26.58%,5.70%,2046.08,81.13%,783.0,nc,24.03%,14623.0
90,Migennes,17344.0,24.07%,5.21%,2002.01,79.62%,314.0,nc,23.95%,7274.0
91,Pecquencourt,17306.0,24.77%,6%,2063.43,77.85%,183.0,nc,25.05%,6225.0
92,Farébersviller,15946.0,33.23%,4.57%,2011.56,73.03%,241.0,nc,23.66%,5406.0
93,Pointe-à-Pitre,13095.0,37.38%,18.42%,2131.20,76.34%,5058.0,nc,47.25%,14498.0
94,Barlin,17129.0,20.49%,5.57%,2013.03,80.58%,226.0,nc,26.38%,7456.0
95,Freyming-Merlebach,18719.0,22.08%,5.20%,2002.19,80.08%,766.0,nc,23.70%,12840.0
96,Lodève,16940.0,20.06%,7.31%,1996.90,79.94%,708.0,nc,31.72%,7382.0
97,Quiévrechain,16389.0,29.86%,7.04%,2053.66,80.36%,219.0,nc,25.27%,6354.0
98,Sarcelles,16958.0,21.96%,5.87%,1997.40,83.57%,6453.0,nc,25.90%,58483.0
99,Guingamp,16642.0,21.38%,7.73%,2076.68,72.34%,537.0,nc,38.71%,7115.0
100,Hérouville-Saint-Clair,19278.0,19.67%,4.37%,2061.81,75.84%,1394.0,nc,32.42%,22150.0
101,Vaulx-en-Velin,17264.0,22.29%,5.94%,2095.34,81.10%,4580.0,nc,26.89%,51761.0
102,Béziers,18901.0,23.40%,7.67%,2074.19,79.56%,8715.0,10801,30.15%,78683.0
103,Saint-Omer,19910.0,26.78%,7.96%,2103.40,72.99%,1163.0,nc,32.83%,14782.0
104,Fresnes-sur-Escaut,17302.0,23.75%,5.77%,2057.67,79.97%,262.0,nc,24%,7453.0
105,LaRicamarie,17294.0,21.51%,5.28%,2061.18,76.77%,443.0,nc,25.21%,7943.0
106,Villeneuve-sur-Lot,20202.0,20.33%,5.06%,2026.70,78.95%,1762.0,nc,26.25%,21690.0
107,Forbach,19001.0,25.92%,7.35%,1995.08,82.89%,1500.0,nc,25.64%,21509.0
108,LaRéole,16219.0,21.65%,6.30%,1957.13,75.02%,398.0,nc,28.62%,4351.0
109,Prades,18707.0,24.70%,5.75%,1947.90,76.22%,562.0,nc,23.29%,6081.0
110,Saint-Pierre,13788.0,27.66%,11.45%,1978,73.77%,447.0,nc,32.78%,4107.0
111,Dieppe,18943.0,23.93%,6.86%,2138.71,75.95%,1932.0,nc,29.95%,28091.0
112,Gros-Morne,15014.0,31.43%,11.67%,2106.10,79.65%,709.0,nc,28.59%,9758.0
113,L'Aigle,18678.0,23.22%,5.88%,2064.23,78.07%,555.0,nc,28.08%,7903.0
114,Perpignan,19106.0,24.74%,9.22%,2099.76,78.82%,12454.0,9713,32.60%,118032.0
115,Carcassonne,20529.0,21.97%,6.81%,2080.51,78.93%,4526.0,nc,29.22%,46673.0
116,Ganges,15501.0,25.88%,6.83%,1975.16,74.63%,513.0,nc,30.57%,4114.0
117,Pamiers,19606.0,17.39%,5.83%,2049.39,69%,1324.0,nc,26.55%,15938.0
118,Pithiviers,19187.0,23.57%,4.86%,2052.23,78.51%,538.0,nc,25.07%,9067.0
119,Flers,19739.0,21.09%,5.32%,2077.62,76.44%,836.0,nc,26.78%,14589.0
120,Bédarieux,17547.0,25.80%,6.72%,2024.53,79.20%,493.0,nc,25.86%,5736.0
121,Charleville-Mézières,19543.0,23.31%,7.78%,2133.27,78.78%,3156.0,nc,29.93%,46388.0
122,Dechy,17145.0,22.23%,5.79%,2018.92,79.55%,230.0,nc,24.89%,5352.0
123,Frévent,14468.0,26.69%,6.81%,1897.21,79.21%,146.0,nc,28.84%,3348.0
124,Joigny,19494.0,24.20%,6.42%,2067.90,78.65%,658.0,nc,25.85%,9381.0
125,Villeneuve-Saint-Georges,17664.0,17.71%,6.01%,2050.95,81%,2549.0,nc,24.21%,34845.0
126,Lézignan-Corbières,19111.0,20.55%,5.90%,2019.24,80.27%,937.0,nc,23.58%,11112.0
127,Nœux-les-Mines,18309.0,20.11%,4.62%,2021.13,81.10%,526.0,nc,25.33%,11638.0
128,Pierrefitte-sur-Seine,16598.0,21.65%,6.52%,2018.39,83.92%,2723.0,nc,24.67%,31344.0
129,Beaucaire,19115.0,22.75%,5.68%,2085.24,79.65%,1214.0,nc,23.56%,15659.0
130,Maxéville,17359.0,23.52%,6.67%,2113.97,79.82%,774.0,nc,30.01%,9816.0
131,Mulhouse,20766.0,27.31%,6.44%,2073.54,77.17%,8264.0,10070,29.58%,108038.0
132,Canteleu,18452.0,20.57%,5.08%,2095.20,80.04%,593.0,nc,27.89%,13807.0
133,Garges-lès-Gonesse,15649.0,18.81%,5.31%,1937.45,84.01%,3411.0,nc,23.89%,43215.0
134,Montigny-en-Gohelle,17797.0,24.89%,4.86%,2070.55,81.04%,290.0,nc,23.06%,10086.0
135,Apt,20448.0,22.53%,4.46%,2005.47,77.08%,1352.0,nc,24.88%,10889.0
136,Carmaux,18528.0,18.81%,4.49%,1952.16,80.86%,625.0,nc,24%,9870.0
137,Moulins,19652.0,18.37%,5.46%,2046.92,80.09%,1462.0,nc,30.98%,19444.0
138,Tonnerre,17025.0,22.99%,6.42%,2003.11,78.25%,317.0,nc,28.62%,4345.0
139,Amélie-les-Bains-Palalda,16990.0,28.71%,6.62%,1928.90,73.87%,358.0,nc,27.80%,3581.0
140,Bolbec,17722.0,22.98%,5.28%,2131.12,76.35%,438.0,nc,27.54%,11551.0
141,Douchy-les-Mines,17598.0,19.17%,6.09%,2076.86,80.71%,336.0,nc,26.04%,10144.0
142,LeMorne-Rouge,15089.0,23.95%,8.44%,2053.60,76.01%,348.0,nc,24.68%,4635.0
143,LeVigan,16526.0,23.86%,8.12%,1905.18,78.11%,407.0,nc,30.22%,3708.0
